hostname,TIC_ID,GaiaDR3_ID,Tmag
11 Com,72437047,3946945413106333696,3.8379
11 UMi,230061010,1696798367260229376,3.82294
14 And,333225860,1920113512486282240,4.3214
14 Her,219483057,1385293808145621504,5.8631
16 Cyg B,27533327,2135550755683407232,5.6281
17 Sco,135596590,4342464209753404416,3.97655
18 Del,354489950,1756741374681702784,4.7181
1RXS J160929.1-210524,48964101,6243841249531772800,11.1941
24 Boo,441712711,1603662211901473408,4.7812
24 Sex,1713457,3830897080395058048,5.6416
2MASS J01225093-2439505,11614485,5040416186560252416,11.6243
2MASS J02192210-3925225,77111651,4963614887043956096,13.4304
2MASS J0249-0557 A,10930507,5183875103632956032,14.0996
2MASS J03590986+2009361,14183352,51369428065705600,15.4702
2MASS J04372171+2651014,125843782,151499478104075008,13.0123
2MASS J04414489+2301513,118893899,146487556211644544,17.1815
2MASS J11011926-7732383,454227159,5201185574182015744,16.7448
2MASS J11550485-7919108,357014373,5199985216726016896,13.344
2MASS J12073346-3932539,102076870,3459372646830687104,15.662
2MASS J16262785-2625152,175594111,6045818685674325760,12.9013
2MASS J19383260+4603591,271164763,2080063931448749824,12.4561
2MASS J21252752-8138278,273305007,6348514275456913792,9.71772
2MASS J22362452+4751425,200532605,1986772848034988544,11.1286
2MASS J22501512+2325342,435830255,2837047214379099904,12.3193
4 UMa,356478817,1092230803512999424,3.5681
47 UMa,21535479,777254360337133312,4.4698
51 Eri,298810162,3205095125321700480,4.9574
51 Peg,139298196,2835207319109249920,4.8576
55 Cnc,332064670,704967037090946688,5.2058
55 Cnc B,332064684,704966762213039488,10.3334
6 Lyn,444865362,1004358968092652544,5.0436
61 Vir,422478973,3507879565090229888,4.085
7 CMa,48237215,2939555954755196160,3.0677
70 Vir,95473936,3740176925743994752,4.2943
75 Cet,251095345,2500064286492779264,4.5054
8 UMi,257005016,1700658653802527104,5.96761
81 Cet,35725282,2495420602212048640,4.77853
91 Aqr,4610441,2630155547353593216,3.3221
AB Aur,96680681,156917493449670656,6.94321
AB Pic,260351540,5495052596695570816,8.2763
AF Lep,94945758,3009908378049913216,5.7932
AU Mic,441420236,6794047652729201024,6.755
b Cen A,159589603,6105713692544123520,4.2009
Barnard's star,325554331,4472832130942575872,6.88269
BD+03 2562,366659915,3895649725336884736,8.2014
BD+05 4868 A,466376085,2700378125204437760,9.1886
BD+14 4559,230183006,1759623813132980864,8.7505
BD+15 2375,82604982,3924009634910406912,9.3605
BD+15 2940,393702609,1193071962699902336,8.1004
BD+20 2457,95359428,625137162857354880,8.4752
BD+20 274,60923874,96530596864007552,8.1716
BD+20 594,26123781,58200934326315136,10.4021
BD+37 3172,289572819,2096350069476310016,8.1867
BD+42 2315,376689863,1534760078795225728,8.809
BD+45 564,292607437,353030751066772480,8.8588
BD+48 738,302069358,438899345022759424,7.8885
BD+48 740,302070274,438444868763388800,7.5248
BD+49 828,116376059,439327501725338752,8.32678
BD+55 362,453226076,412783469966211456,8.6036
BD+60 1417,159527171,1579929906250111232,8.6054
BD+63 1405,233075841,2160951157908163968,8.1519
BD-06 1339,66914642,3022099969137163904,8.2906
BD-08 2823,33355302,3770419611540574080,8.86
BD-10 3166,148563075,3758629479636689536,9.3253
BD-11 4672,217831699,4154598526336121600,8.7204
BD-13 2130,288474555,3030262468592291072,8.999
BD-14 3065 A,293607057,3751877374435102720,10.6311
BD-17 63,75377076,2367734656180397952,8.5246
BD-210397,268804174,5124636303346779008,8.4502
BEBOP-3,289949453,1141769093744241536,8.70912
BEBOP-4 A,356710041,3961485079994112896,9.0024
bet Cnc,458582777,3098404220680931968,2.2206
bet Pic,270577175,4792774797545800832,3.6957
CD Cet,328465904,3179036008830848,10.6701
CD-35 2722,201426753,2885863400349980288,9.20446
CHXR 73,454291479,5201175987817179136,15.6098
CI Tau,61230756,145203159127518336,11.1809
COCONUTS-2 A,272232401,5213167330349528064,8.94488
CoRoT-1,36352297,3105507886130792448,13.0501
CoRoT-10,405010127,4263752921128319616,13.8215
CoRoT-11,110178537,4285511294172309504,12.419
CoRoT-12,280210963,3107255598526406912,14.7971
CoRoT-13,281909674,3101974231859723776,14.4266
CoRoT-14,282706928,3101145195794755072,15.2135
CoRoT-16,218299481,4256135160951556480,14.7587
CoRoT-17,218299312,4255957040079935488,14.4756
CoRoT-18,37168957,3120058170178779392,14.2465
CoRoT-19,42821097,3120002649138831360,13.1861
CoRoT-2,391958006,4287820848378092672,11.6659
CoRoT-20,234825296,3120122805143587328,13.8786
CoRoT-21,280420719,3107471240236703104,15.2756
CoRoT-22,323094535,4285572454508522496,13.2006
CoRoT-23,108155949,4283597937777249408,14.1956
CoRoT-24,36105482,3105404467618982272,14.5115
CoRoT-25,130038122,4285689616891369600,14.1354
CoRoT-26,322388624,4286437357841760000,14.8162
CoRoT-27,416136788,4284721191974346752,14.6258
